codigo ccn,codigo cnh,nombre,comunidad autonoma,provincia,municipio,direccion,codigo postal,telefono,naºmero de camas instaladas,tipo de centro,dependencia funcional,observaciones,concierto,acreditacion docente,direccion_completa,latitud,longitud,servicios
141000556,410212,RESIDENCIA DE SALUD MENTAL NUESTRA SE?ORA DEL CARMEN,AndalucÃ­a,Sevilla,Bormujos,AVENIDA RIO PUDIO S/N,41930,954906671,54,Hospitales de salud mental y tratamiento de toxicomanÃ­as,Privados,,Sin concierto,NO,"RESIDENCIA DE SALUD MENTAL NUESTRA SE?ORA DEL CARMEN, Bormujos, Sevilla, España",37.3733095,-6.083561,
141000649,410483,ITA CLINIC BCN,AndalucÃ­a,Sevilla,Sevilla,CALLE VIDRIO 32,41005,954633252,19,Otros Centros con Internamiento,Privados,,Sin concierto,NO,"ITA CLINIC BCN, Sevilla, Sevilla, España",37.1763961,-5.7851107,
141000727,410135,HOSPITAL QUIRONSALUD INFANTA LUISA,AndalucÃ­a,Sevilla,Sevilla,CALLE SAN JACINTO 87,41010,954330100,139,Hospitales Generales,Privados,,Sin concierto,NO,"HOSPITAL QUIRONSALUD INFANTA LUISA, Sevilla, Sevilla, España",37.1763961,-5.7851107,
141001379,410233,HOSPITAL SAN AGUSTIN,AndalucÃ­a,Sevilla,Dos Hermanas,"CALLE PROLONGACION DOCTOR FLEMING, SECTOR 13 S/N",41703,955050570,93,Hospitales Generales,Privados,,Sin concierto,NO,"HOSPITAL SAN AGUSTIN, Dos Hermanas, Sevilla, España",37.2807132,-5.9359853,
141001671,410375,HOSPITAL VITHAS  SEVILLA,AndalucÃ­a,Sevilla,Castilleja de la Cuesta,GLORIETA ANGEL DOMINGUEZ JIMENEZ PEDIATRA 2,41950,954464000,148,Hospitales Generales,Privados,,Concierto parcial,NO,"HOSPITAL VITHAS  SEVILLA, Castilleja de la Cuesta, Sevilla, España",37.392321,-6.0619916,
141001947,410386,HOSPITAL DE ALTA RESOLUCION DE UTRERA,AndalucÃ­a,Sevilla,Utrera,CALLE BRIGADAS INTERNACIONALES S/N,41710,955839097,14,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL DE ALTA RESOLUCION DE UTRERA, Utrera, Sevilla, España",37.1756949,-5.7852373,
141002499,410409,HOSPITAL VIAMED SANTA ANGELA DE LA CRUZ,AndalucÃ­a,Sevilla,Sevilla,AVENIDA DE JEREZ 59,41014,954032000,105,Hospitales Generales,Privados,,Sin concierto,NO,"HOSPITAL VIAMED SANTA ANGELA DE LA CRUZ, Sevilla, Sevilla, España",37.1763961,-5.7851107,
141006016,410454,HOSPITAL DE ALTA RESOLUCION DE LEBRIJA,AndalucÃ­a,Sevilla,Lebrija,AVENIDA EL CUERVO S/N,41740,900000000,22,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL DE ALTA RESOLUCION DE LEBRIJA, Lebrija, Sevilla, España",36.9105888,-6.0727029,
141006243,410346,HOSPITAL PSIQUIATRICO PENITENCIARIO,AndalucÃ­a,Sevilla,Sevilla,"CARRETERA TORREBLANCA-MAIRENA KM. 3,5 S/N",41007,955616666,184,Hospitales de salud mental y tratamiento de toxicomanÃ­as,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,NO,"HOSPITAL PSIQUIATRICO PENITENCIARIO, Sevilla, Sevilla, España",37.1763961,-5.7851107,
141006465,410432,CLINICA DE SALUD MENTAL MIGUEL DE MAÃARA,AndalucÃ­a,Sevilla,Dos Hermanas,CALLE HERMANOS DE LA CRUZ BLANCA 1,41089,954127033,18,Hospitales de salud mental y tratamiento de toxicomanÃ­as,Privados,,Sin concierto,SI,"CLINICA DE SALUD MENTAL MIGUEL DE MAÃARA, Dos Hermanas, Sevilla, España",37.2807132,-5.9359853,
141006842,410476,HOSPITAL DE LA  MUJER,AndalucÃ­a,Sevilla,Sevilla,AVENIDA MANUEL SIUROT S/N,41013,955012720,221,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL DE LA  MUJER, Sevilla, Sevilla, España",37.3631192,-5.9782126,
141006864,410205,HOSPITAL DE EMERGENCIA COVID 19,AndalucÃ­a,Sevilla,Sevilla,CALLE MARIA GALIANA 8,41013,955013466,276,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL DE EMERGENCIA COVID 19, Sevilla, Sevilla, España",37.1763961,-5.7851107,
222000001,220036,HOSPITAL SAGRADO CORAZON DE JESUS,AragÃ³n,Huesca,Huesca,PASEO LUCAS MALLADA 22,22006,974292000,68,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,SI,"HOSPITAL SAGRADO CORAZON DE JESUS, Huesca, Huesca, España",42.1423058,-0.4010291,
222000002,220015,HOSPITAL UNIVERSITARIO SAN JORGE,AragÃ³n,Huesca,Huesca,AVENIDA MARTINEZ DE VELASCO 36,22004,974247000,251,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,SI,"HOSPITAL UNIVERSITARIO SAN JORGE, Huesca, Huesca, España",42.1317832,-0.4202108,
222000003,220054,HOSPITAL DE BARBASTRO,AragÃ³n,Huesca,Barbastro,CARRETERA NACIONAL 240 S/N,22300,974249000,175,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,NO,"HOSPITAL DE BARBASTRO, Barbastro, Huesca, España",42.033265,0.1111519,
